ministerio,cargo,funcionario,url
Fiscal de Estado,Director de la Escuela de Abogados del Estado (ad honorem),Gerardo García,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Director General Asuntos Judiciales,Leticia Valeria Aguirre,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Director General de Asuntos Judiciales del Interior,Mariana Beatriz Miseta,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Director General de Despacho,Eduardo Octavio Figueroa,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Escribana General de Gobierno,María Amelia Assaad,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Escribana Sustituta de Gobierno,Julia Olga Núñez,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Fiscal Adjunta,María Soledad Gutíerrez,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Fiscal Adjunto,Gerardo García,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Fiscal de Estado,Jorge Córdoba,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Procurador del Tesoro,Pablo Juan María Reyna,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Secretaria Relator,María Eugenia Heredia,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Secretario Relator,Diego Sebastián Llamas Barud,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Secretario Relator,Ferrero Horacio,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Subsecretaria de Coordinación,Carola Camps,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fiscal de Estado,Subsecretario Legal y Técnica,Fernando Pesci,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Ministro de Agricultura y Ganadería,Director de Sanidad,Alfredo Ciro Díaz,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Director de Sistemas,Guillermo Goloboff,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,"Director General de Agencias Zonales,",Abel Oscar Ponce,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Director General de Coordinación Administrativa y Legal,Armando Ellena,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Director General de Fiscalización y Control,Martín Alejandro Gutiérrez,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Directora de Administración,María Soledad Pagán,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Directora de Asuntos Legales,María Laura Marín,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Directora de Producción,Liliana Allasia,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Directora de Producción Agropecuaria Familiar,Mariana Victoria,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,Sergio Busso,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Secretario de Agricultura,Marcos Blanda,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Secretario de Ganadería,Olden Martín José Riberi,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Agricultura y Ganadería,Subsecretario de Infraestructura Agropecuaria,Edgardo Delfor Bustamante,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
"Ministro de Agua, Ambiente y Servicios Públicos",Coordinador del Instituto de Planificación Metropolitana,Guillermo Mariano Iros,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director de Policía Ambiental,Adrián Rinaudo,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Administración,Federico Gigena,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Administración,Patricio Terrera Woodward,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Asuntos Legales,José Ignacio Torno,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Conservación de la Biodiversidad y Recursos Naturales,Diego Horacio Suárez,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Energías Renovables y Comunicación,Sergio Luis Mansur,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
