funcionario,cargo,ministerio,url
Sergio Busso,Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Juan Carlos Massei,Ministro de Gobierno,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Jorge Córdoba,Fiscal de Estado,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Osvaldo Giordano,Ministro de Finanzas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Sergio Hugo Tocalli,Ministro de Desarrollo Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Walter Mario Grahovac,Ministro de Educación,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Julio Bañuelos,Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Julieta Rinaldi,Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Medardo Ligorria,Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Nora Esther Bedano,Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Fabián López,"Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Manuel Calvo,Secretario de Comunicaciones y Conectividad,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Laura Jure,Secretaria de Equidad y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Silvina Rivero,Secretaria General de la Gobernación,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Carlos Walter Robledo,Ministro de Ciencia y Tecnología,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Omar Hugo Sereno,Ministro de Trabajo,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Marcos Blanda,Secretario de Agricultura,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Olden Martín José Riberi,Secretario de Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Liliana Allasia,Directora de Producción,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Alfredo Ciro Díaz,Director de Sanidad,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Edgardo Delfor Bustamante,Subsecretario de Infraestructura Agropecuaria,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Abel Oscar Ponce,"Director General de Agencias Zonales,",Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Mariana Victoria,Directora de Producción Agropecuaria Familiar,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Armando Ellena,Director General de Coordinación Administrativa y Legal,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Martín Alejandro Gutiérrez,Director General de Fiscalización y Control,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
María Laura Marín,Directora de Asuntos Legales,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
María Soledad Pagán,Directora de Administración,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Guillermo Goloboff,Director de Sistemas,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Alfonso Mosquera,Secretario de Seguridad,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Lucas Sebastián Mezzano,Director General de Planificación Estratégica de Seguridad,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Miguel Siciliano,Secretario de Asuntos Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Juan Carlos Scotto,Secretario de Asuntos Municipales e Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Américo Javier Romero Camaño,Director General de Culto y Relaciones Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Claudio Severino Vignetta,Secretario de Gestión de Riesgo Climático y Catástrofes,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Rody Wilson Guerreiro,Presidente del Consejo de Seguridad Deportiva Provincial,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Carlos Tomás Alesandri,Secretario de Integración Regional y Relaciones Internacionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Oscar Arias,Secretario de Desarrollo de Políticas Comunitarias,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Daniel Alejandro Pastorino,Subsecretario de Tecnología de Información y Comunicaciones,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Sebastián Roberto Serrano,Subsecretario de Gestión Administrativa,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Graciela Avellaneda,Directora General de Administración,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ana María Becerra,Presidente del Tribunal de Conducta Policial y Penitenciario,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Miguel Angel Rizzotti,Director General de Prevención de Accidentes de Tránsito,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Gustavo Vélez,Jefe de Policía,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Gerardo García,Fiscal Adjunto,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
María Soledad Gutíerrez,Fiscal Adjunta,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Ferrero Horacio,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Diego Sebastián Llamas Barud,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
María Eugenia Heredia,Secretaria Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
