funcionario,cargo,ministerio,url,foto
Sergio Busso,Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png
Walter Mario Grahovac,Ministro de Educación,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg
Julio Bañuelos,Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-bañuelos.jpg
Julieta Rinaldi,Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png
Medardo Ligorria,Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg
Nora Esther Bedano,Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg
Fabián López,"Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabián-López.jpg
 Ricardo Roberto Sosa,Ministro de Obras Públicas y Financiamiento,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/05/ricardososa.jpg
Roberto Avalle,"Ministro de Industria, Comercio y Minería","Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Roberto-Avalle.jpg
Juan Carlos Massei,Ministro de Gobierno,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg
Jorge Córdoba,Fiscal de Estado,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cordobafiscal.jpg
Osvaldo Giordano,Ministro de Finanzas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg
Sergio Hugo Tocalli,Ministro de Desarrollo Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg
Carlos Walter Robledo,Ministro de Ciencia y Tecnología,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Walter-Robledo.jpg
Omar Hugo Sereno,Ministro de Trabajo,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Omar-Hugo-Sereno.jpg
María Laura Castiñeiras,Secretaria ,Secretaria ,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/,
Marcos Blanda,Secretario de Agricultura,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-agricultura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/marcos-blanda.gif
Olden Martín José Riberi,Secretario de Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Olden-Riberi1.jpg
Liliana Allasia,Directora de Producción,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-produccion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Liliana-Allasia.jpg
Alfredo Ciro Díaz,Director de Sanidad,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-sanidad/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/ALFREDO-CIRO-DIAZ21.jpg
Edgardo Delfor Bustamante,Subsecretario de Infraestructura Agropecuaria,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/subsecretaria-de-infraestructura-agropecuaria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Edgardo-Bustamante.jpg
Abel Oscar Ponce,"Director General de Agencias Zonales,",Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-agencias-zonales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abel-Ponce-list.jpg
Mariana Victoria,Directora de Producción Agropecuaria Familiar,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-de-produccion-agropecuaria-familiar/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/04/thumbnail_Mariana-Victoria.jpg
Armando Ellena,Director General de Coordinación Administrativa y Legal,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-coordinacion-administrativa-y-legal/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Armando-Ellena-1.jpg
Martín Alejandro Gutiérrez,Director General de Fiscalización y Control,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-fiscalizacion-y-control/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Martin-Gutierrez.jpg
María Laura Marín,Directora de Asuntos Legales,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Maria-Laura-Marin-dos-1.jpg
,Director Control  de Gestión y Desarrollo,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-control-de-gestion-y-desarrollo/,
María Soledad Pagán,Directora de Administración,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-administracion/,
,Dirección de Recursos Humanos,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-recursos-humanos/,
Guillermo Goloboff,Director de Sistemas,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-sistemas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/thumbnail_Guillermo-Goloboff.jpg
Delia Provinciali,Secretaria de Educación,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/DeliaProvinciali.jpg.jpg
