web_url,funcionario,foto_img,cargo_generico,cargo_ocupado,ministerio,foto_url
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/,Sergio Busso,"[{'checksum': '30c6a6b0d11382e23f13230924a40fac', 'path': 'full/41ebd696379113303be53dc68b75773fb0a93d43.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png'}]",Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/,Julio Bañuelos,"[{'checksum': '0a953df3da8f4c94dd1f7a95e4cd14fe', 'path': 'full/8838a3311c0fe105d8399333ec8627a8a195fdb9.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-ba%C3%B1uelos.jpg'}]",Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-bañuelos.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/,Julieta Rinaldi,"[{'checksum': '430fc9b66cf18ae48d4b440ab60ffc89', 'path': 'full/4fbd29c0cec9e5a8e487783b22b99a31d35c6c97.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png'}]",Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/,Medardo Ligorria,"[{'checksum': 'ab25b3fbeba769f2f89598d4a287aa57', 'path': 'full/80da0b2fb17e8ddf0e14c2c78e8e01079e21bb2e.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg'}]",Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/,Nora Esther Bedano,"[{'checksum': '232669f9410a20e6f14f5254d93ebe6f', 'path': 'full/99a72e2a69d2fa4b1580d0d5a5526b639dabcff0.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg'}]",Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/,Fabián López,"[{'checksum': 'fbb1b555d96085f759a541a7dca1f731', 'path': 'full/ff2610be84d38ab5a6084929bcf6a29496da1d79.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabi%C3%A1n-L%C3%B3pez.jpg'}]","Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabián-López.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/,Juan Carlos Massei,"[{'checksum': '7b936b9bbfd492da5ee9685b654bf4e5', 'path': 'full/a83b8e83b13dd62735863396f3ee3d1ddec5a050.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg'}]",Ministro de Gobierno,Ministro de Gobierno,Ministro de Gobierno,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg
http://www.cba.gov.ar/reparticion/fiscalia-de-estado/,Jorge Córdoba,"[{'checksum': '422b99bd73af2498b654814e0e2022ed', 'path': 'full/d9ab2a83027051f39062d868d966513cc7dfb078.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cordobafiscal.jpg'}]",Fiscal de Estado,Fiscal de Estado,Fiscal de Estado,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cordobafiscal.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/,Osvaldo Giordano,"[{'checksum': '50aae6818cbef513ae5d7ebcadeb946f', 'path': 'full/309aa7fd0ab19f5d0b5afb2b59c00623c813357e.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg'}]",Ministro de Finanzas,Ministro de Finanzas,Ministro de Finanzas,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/,Sergio Hugo Tocalli,"[{'checksum': 'fd2e72c0867116268ae6b79368670115', 'path': 'full/d8ff8c7c62bc8c7e56279112ef7909baf6a3adb4.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg'}]",Ministro de Desarrollo Social,Ministro de Desarrollo Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-educacion/,Walter Mario Grahovac,"[{'checksum': '73b3c3d92456de4c36bbd119101468bd', 'path': 'full/697004557b71c2f3bb2774d9eef289a25fab6590.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg'}]",Ministro de Educación,Ministro de Educación,Ministro de Educación,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg
http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/,María Laura Castiñeiras,,Secretaria ,Secretaria ,Secretaria ,
http://www.cba.gov.ar/reparticion/ministerio-de-salud/,Francisco José Fortuna,"[{'checksum': 'c6b6d757bd73dd1ac27b3baee43f3f69', 'path': 'full/879f490225da141ff8dbee4b7e012842c512e394.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg'}]",Ministro de Salud,Ministro de Salud,Ministro de Salud,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/,Luis Angulo,"[{'checksum': 'fcb802e0ce5e1eb4c13750ca3ce13e4a', 'path': 'full/78157dc5988838cf1618773ff6347619c83ca5c9.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Luis-Angulo.jpg'}]",Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Luis-Angulo.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/,Mario César Cuneo,"[{'checksum': 'adc01f226985fbd23b4b3d1385fd8700', 'path': 'full/613ab531e80dc4f5c85c6c850840c250bbdcd176.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/mario-cuneo.png'}]",Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/mario-cuneo.png
