cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Secretaría de Seguridad,Secretario,,,Alfonso Mosquera,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Dirección General de Culto y Relaciones Institucionales,Director,,,Américo Javier Romero Camaño,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Secretaría de Desarrollo de Políticas Comunitarias,Secretario,,,Oscar Arias,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Dirección General de Administración,Directora,,,Graciela Avellaneda,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Seguridad Náutica,,,,,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Dirección de Defensa Civil,Director,,,Diego Concha,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Dirección General de Prevención de Accidentes de Tránsito,Directora General,,,Miguel Angel Rizzotti,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministerio de Gobierno,Ministro,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg', 'path': 'full/938384f2844c1b2a913ebcd66feaa68c4757fd57.jpg', 'checksum': '7b936b9bbfd492da5ee9685b654bf4e5'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg,Juan Carlos Massei,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Consejo de Seguridad Deportiva Provincial,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/rody-guerreiro.jpg', 'path': 'full/931e19450b60887257847efdd6823fe85e7b15b8.jpg', 'checksum': '28c4f274d38e1309092d6645ae3cc52a'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/rody-guerreiro.jpg,Rody Wilson Guerreiro,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Presidente del Consejo de Seguridad Deportiva Provincial,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/rody-guerreiro.jpg', 'path': 'full/931e19450b60887257847efdd6823fe85e7b15b8.jpg', 'checksum': '28c4f274d38e1309092d6645ae3cc52a'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/rody-guerreiro.jpg,Rody Wilson Guerreiro,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Secretaría de Asuntos Municipales,Secretario,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2013/12/juan-carlos-scotto1.jpg', 'path': 'full/7c5062ee95b447eb5c81ba1baa516f7d335c959d.jpg', 'checksum': 'de0e240cc3a44bd84d086794e1efaf31'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2013/12/juan-carlos-scotto1.jpg,Juan Carlos Scotto,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Subsecretaría de Tecnología de Información y Comunicaciones,Subsecretario,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/pastorino-TIC1.jpg', 'path': 'full/8b9c2b36e0ef1bd773a51df04aa0aabe41575ef3.jpg', 'checksum': '3784c5dccbb99e3c8e2e96e59bda3ed5'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/pastorino-TIC1.jpg,Daniel Alejandro Pastorino,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Subsecretaría de Gestión Administrativa,Subsecretario,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/serrano-secretario-gestion-administrativa1.jpg', 'path': 'full/c708b48911970b55dddfa2164115bb912953251d.jpg', 'checksum': 'db084c7a211e12dd2eb5e15fa8ea94ae'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/serrano-secretario-gestion-administrativa1.jpg,Sebastián Roberto Serrano,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Tribunal de Conducta Policial y Penitenciario,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/anaBECERRA200x150.jpg', 'path': 'full/c91b3414749fda2432a64034b1fbccf69d21231f.jpg', 'checksum': 'e91da095bd4e51fa6530f57d3ffe537b'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/anaBECERRA200x150.jpg,Ana María Becerra,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
